school,sex,address,famsize,Pstatus,age,Dalc,Walc,health,absences,Math,Portuguese,G1,G2,G3,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,0,0,1,0,18,1,1,5,75,1,1,10.0,9.0,9.0,0,0,0,0,0,0,1,1,3,2,2.0,2.0,0.0,4.0,1.0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,19,1,2,5,12,1,1,14.0,13.0,13.0,0,0,1,0,1,1,0,0,3,1,1.0,3.0,1.0,5.0,4.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,17,2,3,2,4,1,1,9.0,10.0,10.0,0,1,1,0,1,1,1,0,3,2,1.0,2.0,0.0,4.0,3.0,3.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,1,19,1,1,3,40,1,1,13.0,11.0,11.0,0,0,0,0,1,1,1,1,2,3,1.0,3.0,1.0,4.0,1.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,1,18,1,1,4,0,1,1,10.0,9.0,0.0,0,0,0,1,1,1,0,0,2,2,2.0,4.0,0.0,4.0,4.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,1,17,1,1,3,2,1,1,13.0,11.0,11.0,0,0,0,1,1,1,0,0,2,1,3.0,2.0,0.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,1,1,18,1,1,4,16,1,1,9.0,8.0,7.0,0,0,0,1,1,1,1,1,3,1,1.0,2.0,1.0,5.0,3.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,1,18,2,2,4,8,1,1,12.0,10.0,11.0,0,0,1,1,1,1,1,0,4,4,2.0,2.0,0.0,4.0,3.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,1,18,1,2,3,0,1,1,6.0,0.0,0.0,0,1,0,0,1,0,1,1,2,1,2.0,2.0,0.0,4.0,3.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,1,17,1,2,3,18,1,1,7.0,6.0,6.0,0,1,0,0,1,1,1,0,2,2,1.0,1.0,0.0,5.0,3.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
